City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
89,Formosa,-26.1775,-58.1781,80.58,65,75,3.44,broken clouds,AR,2021-10-10 19:45:27
90,New Norfolk,-42.7826,147.0587,40.91,76,85,2.37,overcast clouds,AU,2021-10-10 19:47:34
91,Riverton,40.5219,-111.9391,61.79,53,40,3.0,scattered clouds,US,2021-10-10 19:47:35
92,Wisla,49.6563,18.8591,45.68,74,100,1.66,overcast clouds,PL,2021-10-10 19:46:19
93,Bluff,-46.6,168.3333,48.79,91,100,7.52,overcast clouds,NZ,2021-10-10 19:47:35
94,Norman Wells,65.282,-126.8329,32.04,93,75,10.36,light snow,CA,2021-10-10 19:47:35
95,Nueve De Julio,-35.4444,-60.8831,69.71,67,100,8.59,overcast clouds,AR,2021-10-10 19:47:36
96,Yellowknife,62.456,-114.3525,38.41,99,90,11.5,light rain,CA,2021-10-10 19:45:47
97,Cam Ranh,11.9214,109.1591,78.76,89,40,3.44,scattered clouds,VN,2021-10-10 19:47:36
98,Acapulco,16.8634,-99.8901,85.37,71,29,8.16,scattered clouds,MX,2021-10-10 19:46:26
99,Altay,47.8667,88.1167,37.6,42,87,7.58,overcast clouds,CN,2021-10-10 19:47:36
100,La Libertad,-2.2333,-80.9,69.46,83,90,9.22,overcast clouds,EC,2021-10-10 19:47:37
101,Santiago De Chuco,-8.15,-78.1833,59.79,64,85,3.36,light rain,PE,2021-10-10 19:47:37
102,Sorland,67.667,12.6934,46.47,80,100,6.87,overcast clouds,NO,2021-10-10 19:47:37
103,Saint-Michel-Sur-Orge,48.6348,2.3083,55.85,84,0,6.91,clear sky,FR,2021-10-10 19:47:38
104,Tiksi,71.6872,128.8694,28.65,97,100,5.46,overcast clouds,RU,2021-10-10 19:47:38
105,Agdas,40.65,47.4761,57.07,76,0,4.07,clear sky,AZ,2021-10-10 19:47:38
106,Abay,49.6311,72.8539,43.18,65,100,8.63,overcast clouds,KZ,2021-10-10 19:47:38
107,Kulhudhuffushi,6.6221,73.07,82.65,78,96,18.45,overcast clouds,MV,2021-10-10 19:47:39
108,Karpogory,64.0019,44.4451,49.21,93,100,11.54,light rain,RU,2021-10-10 19:47:39
109,Moerai,-22.4333,-151.3333,73.8,75,100,11.79,overcast clouds,PF,2021-10-10 19:47:39
110,Dwarka,22.2394,68.9678,82.17,76,4,5.75,clear sky,IN,2021-10-10 19:47:40
111,Svetlaya,46.5389,138.3297,48.94,62,12,5.32,few clouds,RU,2021-10-10 19:47:40
112,Nemea,37.8167,22.6667,64.04,86,96,1.16,overcast clouds,GR,2021-10-10 19:47:40
113,Saint George,37.1041,-113.5841,70.43,33,1,1.01,clear sky,US,2021-10-10 19:47:41
114,Belyy Yar,53.6039,91.3903,39.09,65,0,0.0,clear sky,RU,2021-10-10 19:47:41
115,East London,-33.0153,27.9116,60.58,68,5,17.09,clear sky,ZA,2021-10-10 19:43:25
116,Hithadhoo,-0.6,73.0833,82.9,67,98,12.21,overcast clouds,MV,2021-10-10 19:47:42
117,Wanning,18.8003,110.3967,78.87,88,93,3.15,overcast clouds,CN,2021-10-10 19:43:13
118,Banda Aceh,5.5577,95.3222,79.16,81,33,15.26,scattered clouds,ID,2021-10-10 19:43:42
119,Qaqortoq,60.7167,-46.0333,37.9,51,47,2.75,scattered clouds,GL,2021-10-10 19:44:13
120,Xique-Xique,-10.8218,-42.7263,89.83,36,74,10.07,broken clouds,BR,2021-10-10 19:44:29
121,Ivanava,52.1451,25.5365,38.77,56,0,6.93,clear sky,BY,2021-10-10 19:47:42
122,Georgetown,5.4112,100.3354,79.9,87,20,3.0,few clouds,MY,2021-10-10 19:47:43
123,Vanimo,-2.6741,141.3028,79.03,89,100,3.27,overcast clouds,PG,2021-10-10 19:47:43
124,Sur,22.5667,59.5289,82.92,56,0,6.29,clear sky,OM,2021-10-10 19:47:43
125,Tual,-5.6667,132.75,82.22,76,100,2.3,overcast clouds,ID,2021-10-10 19:47:44
126,Champerico,14.3,-91.9167,93.74,76,100,10.89,overcast clouds,GT,2021-10-10 19:47:44
127,Rawson,-43.3002,-65.1023,74.93,29,42,10.67,scattered clouds,AR,2021-10-10 19:47:44
128,Aksay,47.26,39.87,54.25,30,7,11.99,clear sky,RU,2021-10-10 19:47:44
129,Ostrovnoy,68.0531,39.5131,42.73,94,100,4.7,overcast clouds,RU,2021-10-10 19:47:45
130,Fare,-16.7,-151.0167,79.05,74,22,11.95,few clouds,PF,2021-10-10 19:47:45
131,Naze,28.3667,129.4833,76.89,87,63,16.11,broken clouds,JP,2021-10-10 19:47:45
132,Gallup,35.5281,-108.7426,58.84,31,1,8.01,clear sky,US,2021-10-10 19:47:46
133,Macusani,-14.0833,-70.4333,45.23,77,94,9.62,overcast clouds,PE,2021-10-10 19:47:46
134,Cape Town,-33.9258,18.4232,65.12,65,0,4.61,clear sky,ZA,2021-10-10 19:44:22
135,Foz,43.5692,-7.2544,63.41,92,2,8.88,clear sky,ES,2021-10-10 19:47:46
136,Atar,20.5169,-13.0499,90.18,17,2,6.87,clear sky,MR,2021-10-10 19:47:46
137,Clyde River,70.4692,-68.5914,37.63,81,90,3.44,overcast clouds,CA,2021-10-10 19:47:47
138,Celestun,20.8667,-90.4,85.06,67,94,9.86,overcast clouds,MX,2021-10-10 19:44:17
139,Sovetskaya Gavan,48.9723,140.2878,44.71,65,82,16.55,broken clouds,RU,2021-10-10 19:47:47
140,San Joaquin,37.9333,-121.3011,78.94,37,1,4.61,clear sky,US,2021-10-10 19:47:47
141,Dryden,49.7833,-92.7503,62.89,88,90,12.66,overcast clouds,CA,2021-10-10 19:47:48
142,Tautira,-17.7333,-149.15,82.42,76,63,8.46,broken clouds,PF,2021-10-10 19:47:48
143,Port Lincoln,-34.7333,135.8667,49.42,65,4,9.84,clear sky,AU,2021-10-10 19:43:57
144,Coria,39.9879,-6.5377,68.45,59,62,4.72,broken clouds,ES,2021-10-10 19:47:49
145,Evensk,61.95,159.2333,25.39,78,99,5.03,overcast clouds,RU,2021-10-10 19:47:49
146,Ann Arbor,42.2776,-83.7409,81.64,73,75,3.0,broken clouds,US,2021-10-10 19:47:49
147,Luanda,-8.8368,13.2343,75.2,78,40,6.91,scattered clouds,AO,2021-10-10 19:47:49
148,Coolum Beach,-26.5333,153.1,66.11,91,56,7.34,broken clouds,AU,2021-10-10 19:47:50
149,Touros,-5.1989,-35.4608,85.1,69,27,12.75,scattered clouds,BR,2021-10-10 19:47:50
150,Kodiak,57.79,-152.4072,44.11,65,1,5.75,clear sky,US,2021-10-10 19:47:50
151,Sumbe,-11.2061,13.8437,73.56,85,90,7.11,overcast clouds,AO,2021-10-10 19:47:50
152,Kavieng,-2.5744,150.7967,81.88,76,52,6.91,broken clouds,PG,2021-10-10 19:47:51
153,Ternate,0.8,127.4,81.21,81,100,3.31,overcast clouds,ID,2021-10-10 19:47:51
154,Upernavik,72.7868,-56.1549,32.99,98,100,12.15,snow,GL,2021-10-10 19:47:51
155,Raymondville,26.4815,-97.7831,97.02,45,7,22.95,clear sky,US,2021-10-10 19:47:52
156,Chimore,-16.9833,-65.1333,90.61,48,100,3.83,overcast clouds,BO,2021-10-10 19:47:52
157,Bangassou,4.7413,22.8184,72.41,97,100,2.15,overcast clouds,CF,2021-10-10 19:47:52
158,Dubbo,-32.25,148.6167,51.93,82,90,13.8,light rain,AU,2021-10-10 19:45:31
159,Qaanaaq,77.484,-69.3632,29.62,90,100,8.3,overcast clouds,GL,2021-10-10 19:47:52
160,Marawi,7.9986,124.2928,66.65,93,91,7.2,overcast clouds,PH,2021-10-10 19:47:53
161,Chuy,-33.6971,-53.4616,61.84,76,93,15.9,overcast clouds,UY,2021-10-10 19:47:53
162,Rabo De Peixe,37.8,-25.5833,69.31,94,75,11.5,broken clouds,PT,2021-10-10 19:47:53
163,Ahuimanu,21.4447,-157.8378,79.86,70,75,16.11,light rain,US,2021-10-10 19:47:54
164,Sterling,39.0062,-77.4286,72.68,88,90,3.0,overcast clouds,US,2021-10-10 19:47:26
165,Parrsboro,45.4001,-64.332,63.27,55,100,14.0,overcast clouds,CA,2021-10-10 19:47:54
166,Pombia,45.653,8.6336,55.26,82,0,3.44,clear sky,IT,2021-10-10 19:47:54
167,Yarmouth,41.7057,-70.2286,64.45,83,90,5.99,light rain,US,2021-10-10 19:47:35
168,Port Hardy,50.6996,-127.4199,50.0,87,75,6.91,light intensity shower rain,CA,2021-10-10 19:45:48
169,Hermanus,-34.4187,19.2345,64.9,68,97,8.99,overcast clouds,ZA,2021-10-10 19:47:55
170,Laguna,38.421,-121.4238,78.89,40,1,1.99,clear sky,US,2021-10-10 19:47:55
171,Washougal,45.5826,-122.3534,60.31,83,90,4.61,overcast clouds,US,2021-10-10 19:44:10
172,Xuddur,4.1213,43.8894,75.61,70,83,16.26,broken clouds,SO,2021-10-10 19:47:55
173,Garowe,8.4054,48.4845,83.05,53,97,13.38,overcast clouds,SO,2021-10-10 19:47:56
174,Brae,60.3964,-1.353,49.91,81,30,23.02,scattered clouds,GB,2021-10-10 19:47:56
175,Yamethin,20.4333,96.15,75.09,94,94,2.93,overcast clouds,MM,2021-10-10 19:47:56
176,Kamenka,51.3223,42.7678,43.92,57,0,5.01,clear sky,RU,2021-10-10 19:47:57
177,Haines Junction,60.7522,-137.5108,33.75,80,29,2.3,scattered clouds,CA,2021-10-10 19:47:57
178,Vestmanna,62.1564,-7.1664,41.92,81,75,10.36,broken clouds,FO,2021-10-10 19:47:57
179,Zurrieq,35.8311,14.4742,67.96,68,20,11.5,few clouds,MT,2021-10-10 19:47:57
180,Alyangula,-13.8483,136.4192,69.67,94,99,0.0,overcast clouds,AU,2021-10-10 19:47:58
181,Sao Filipe,14.8961,-24.4956,81.39,70,0,5.61,clear sky,CV,2021-10-10 19:47:58
182,Itarantim,-15.6597,-40.0656,75.22,81,79,6.49,broken clouds,BR,2021-10-10 19:47:58
183,Vardo,70.3705,31.1107,44.58,87,75,5.75,broken clouds,NO,2021-10-10 19:47:59
184,Noumea,-22.2763,166.4572,73.0,99,0,8.21,clear sky,NC,2021-10-10 19:47:59
185,Blagoyevo,63.3667,47.9167,46.87,95,100,10.83,overcast clouds,RU,2021-10-10 19:47:59
186,Karratha,-20.7377,116.8463,72.97,39,10,4.74,clear sky,AU,2021-10-10 19:47:59
187,Katsuura,35.1333,140.3,71.71,72,80,12.97,broken clouds,JP,2021-10-10 19:48:00
188,Hasaki,35.7333,140.8333,64.29,71,57,15.41,broken clouds,JP,2021-10-10 19:48:00
189,Yamada,39.4667,141.95,65.17,94,97,9.55,overcast clouds,JP,2021-10-10 19:48:00
190,Kilosa,-6.8333,36.9833,73.89,67,75,7.78,broken clouds,TZ,2021-10-10 19:48:01
191,Bilibino,68.0546,166.4372,-2.29,100,93,2.93,overcast clouds,RU,2021-10-10 19:48:01
192,Lebu,-37.6167,-73.65,55.54,72,17,10.78,few clouds,CL,2021-10-10 19:48:02
193,Itarema,-2.9248,-39.9167,81.16,72,6,18.39,clear sky,BR,2021-10-10 19:48:02
194,Bambous Virieux,-20.3428,57.7575,72.21,100,75,13.8,light rain,MU,2021-10-10 19:48:02
195,Dalbandin,28.8947,64.4101,64.22,18,0,3.71,clear sky,PK,2021-10-10 19:48:03
196,Half Moon Bay,37.4636,-122.4286,80.58,61,1,5.75,clear sky,US,2021-10-10 19:48:03
197,Murgab,37.4966,61.9714,46.27,66,0,0.0,clear sky,TM,2021-10-10 19:44:52
198,Thompson,55.7435,-97.8558,48.36,87,75,6.91,broken clouds,CA,2021-10-10 19:48:03
199,Kruisfontein,-34.0033,24.7314,58.89,75,14,7.47,few clouds,ZA,2021-10-10 19:48:04
200,Khandyga,62.6667,135.6,31.12,75,100,5.93,overcast clouds,RU,2021-10-10 19:48:04
