City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Lata,PT,2021-09-02 01:08:43,40.1629,-8.3327,64.81,96,90,1.7
67,Khandagayty,RU,2021-09-02 01:08:43,50.7333,92.05,52.9,80,100,5.99
68,Ruteng,ID,2021-09-02 01:08:44,-8.6136,120.4721,73.49,61,43,1.95
69,Iskateley,RU,2021-09-02 01:08:44,67.6803,53.1512,43.07,82,100,8.84
70,Esperance,AU,2021-09-02 01:08:44,-33.8667,121.9,50.07,69,70,26.93
71,Ignatovka,RU,2021-09-02 01:08:45,53.9479,47.6536,58.69,74,100,8.12
72,Houma,US,2021-09-02 01:08:45,29.5958,-90.7195,80.6,91,93,8.41
73,Saskylakh,RU,2021-09-02 01:08:45,71.9167,114.0833,37.31,95,100,13.47
74,Anadyr,RU,2021-09-02 01:08:45,64.75,177.4833,52.3,76,0,11.18
75,Curillo,CO,2021-09-02 01:08:46,1.0333,-75.9191,71.67,98,98,2.13
76,Bouafle,CI,2021-09-02 01:08:46,6.9904,-5.7442,70.61,99,60,1.34
77,Deputatskiy,RU,2021-09-02 01:08:46,69.3,139.9,43.18,67,100,5.93
78,Bathsheba,BB,2021-09-02 01:08:46,13.2167,-59.5167,81.21,74,20,9.22
79,Naze,JP,2021-09-02 01:08:47,28.3667,129.4833,80.71,76,52,1.86
80,Shimoda,JP,2021-09-02 01:08:47,34.6667,138.95,76.57,92,100,3.58
81,Hilo,US,2021-09-02 01:05:20,19.7297,-155.09,86.29,80,90,8.05
82,Cabo San Lucas,MX,2021-09-02 01:04:10,22.8909,-109.9124,91.62,68,1,10.0
83,Saint-Philippe,RE,2021-09-02 01:08:48,-21.3585,55.7679,69.35,80,53,9.33
84,Pevek,RU,2021-09-02 01:08:48,69.7008,170.3133,35.98,87,100,4.43
85,Acapulco,MX,2021-09-02 01:08:48,16.8634,-99.8901,82.22,83,75,4.61
86,Cape Town,ZA,2021-09-02 01:08:21,-33.9258,18.4232,50.88,78,100,1.99
87,Talaya,RU,2021-09-02 01:08:48,61.3833,152.75,50.25,62,72,3.62
88,Burgeo,CA,2021-09-02 01:08:49,47.6167,-57.6152,61.59,96,100,1.79
89,Olafsvik,IS,2021-09-02 01:08:49,64.8945,-23.7142,53.67,88,86,14.2
90,Wawa,NG,2021-09-02 01:08:49,9.9022,4.4192,69.6,94,100,5.5
91,Kodiak,US,2021-09-02 01:08:50,57.79,-152.4072,54.91,94,90,11.5
92,Severo-Kurilsk,RU,2021-09-02 01:08:50,50.6789,156.125,56.41,91,100,5.41
93,Norman Wells,CA,2021-09-02 01:08:50,65.282,-126.8329,69.22,46,34,8.79
94,Terra Nova,BR,2021-09-02 01:08:50,-12.3667,-40.6667,67.77,73,100,7.78
95,Christchurch,NZ,2021-09-02 01:04:52,-43.5333,172.6333,55.9,70,90,3.0
96,Coihaique,CL,2021-09-02 01:08:51,-45.5752,-72.0662,42.75,70,0,3.44
97,Lebu,CL,2021-09-02 01:08:51,-37.6167,-73.65,50.13,91,2,6.93
98,Kalemie,CD,2021-09-02 01:08:51,-5.9475,29.1947,73.04,49,100,3.06
99,Zhigansk,RU,2021-09-02 01:08:52,66.7697,123.3711,54.01,54,97,10.76
100,Talnakh,RU,2021-09-02 01:08:52,69.4865,88.3972,37.62,89,99,7.61
101,Banfora,BF,2021-09-02 01:08:52,10.6333,-4.7667,74.34,90,100,5.12
102,Cayenne,GF,2021-09-02 01:05:56,4.9333,-52.3333,79.09,88,75,0.0
103,Palauig,PH,2021-09-02 01:08:52,15.435,119.9045,83.03,73,61,2.42
104,Port Alfred,ZA,2021-09-02 01:08:53,-33.5906,26.891,59.77,88,100,13.02
105,Geraldton,AU,2021-09-02 01:08:53,-28.7667,114.6,61.12,77,90,11.5
106,Frankenburg,AT,2021-09-02 01:08:53,48.0684,13.4907,50.92,89,5,2.33
107,Leningradskiy,RU,2021-09-02 01:08:54,69.3833,178.4167,32.2,100,100,7.49
108,Weiser,US,2021-09-02 01:08:54,44.251,-116.9693,84.31,11,0,8.81
109,Amurzet,RU,2021-09-02 01:08:54,47.6967,131.0981,73.47,59,97,3.18
110,Les Cayes,HT,2021-09-02 01:08:54,18.2,-73.75,77.32,84,14,1.77
111,Poum,NC,2021-09-02 01:08:55,-20.2333,164.0167,70.86,61,100,8.52
112,Pelham,US,2021-09-02 01:04:19,33.2857,-86.81,74.8,97,90,3.0
113,Waipawa,NZ,2021-09-02 01:08:55,-41.4122,175.5153,53.02,60,99,4.52
114,Kryvyy Rih,UA,2021-09-02 01:08:55,47.9167,33.35,61.68,77,0,8.95
115,Chuy,UY,2021-09-02 01:08:55,-33.6971,-53.4616,58.12,90,100,12.01
116,Egvekinot,RU,2021-09-02 01:08:56,66.3167,-179.1667,46.22,66,34,6.06
117,Paamiut,GL,2021-09-02 01:08:56,61.994,-49.6678,47.5,96,100,3.91
118,Lorengau,PG,2021-09-02 01:08:56,-2.0226,147.2712,85.95,68,91,11.72
119,Hobart,AU,2021-09-02 01:08:57,-42.8794,147.3294,76.05,42,0,5.01
120,Edd,ER,2021-09-02 01:08:57,13.9297,41.6925,91.31,60,84,4.18
121,Clyde River,CA,2021-09-02 01:08:57,70.4692,-68.5914,40.77,78,25,4.56
122,Quiindy,PY,2021-09-02 01:08:57,-25.9667,-57.2667,76.73,35,59,9.53
123,Saldanha,ZA,2021-09-02 01:08:58,-33.0117,17.9442,50.49,73,100,7.47
124,Hermanus,ZA,2021-09-02 01:08:58,-34.4187,19.2345,48.9,86,27,12.73
125,Pierre,US,2021-09-02 01:08:58,44.3683,-100.351,74.32,68,90,10.36
126,Riyadh,SA,2021-09-02 01:06:13,24.6877,46.7219,86.14,13,2,2.1
127,Tonantins,BR,2021-09-02 01:08:59,-2.8731,-67.8022,71.76,99,96,1.63
128,Kichmengskiy Gorodok,RU,2021-09-02 01:08:59,59.9816,45.7854,47.28,97,100,9.78
129,Merauke,ID,2021-09-02 01:08:59,-8.4667,140.3333,83.98,71,86,10.56
130,Kamenka,RU,2021-09-02 01:08:59,51.3223,42.7678,58.37,59,79,6.11
131,Sabang,ID,2021-09-02 01:09:00,5.8933,95.3214,80.94,79,100,20.6
132,Mahebourg,MU,2021-09-02 01:09:00,-20.4081,57.7,69.26,77,6,13.62
133,Aykhal,RU,2021-09-02 01:09:00,66.0,111.5,46.78,73,100,17.27
134,Airai,TL,2021-09-02 01:09:00,-8.9266,125.4092,73.29,45,4,4.47
135,Ponta Do Sol,PT,2021-09-02 01:09:01,32.6667,-17.1,74.71,80,10,0.49
136,Wellsford,NZ,2021-09-02 01:09:01,-36.2833,174.5167,61.12,63,24,9.46
137,Kuito,AO,2021-09-02 01:09:01,-12.3833,16.9333,59.47,30,3,3.69
138,Aksu,CN,2021-09-02 01:09:02,41.1231,80.2644,62.67,71,0,4.72
139,Jaque,PA,2021-09-02 01:09:02,7.5175,-78.1703,78.94,81,100,2.21
140,Iqaluit,CA,2021-09-02 01:09:02,63.7506,-68.5145,44.6,53,9,11.48
141,Chimore,BO,2021-09-02 01:09:02,-16.9833,-65.1333,83.34,47,100,2.28
142,Praia Da Vitoria,PT,2021-09-02 01:09:03,38.7333,-27.0667,67.75,95,68,14.29
143,Zhovtneve,UA,2021-09-02 01:09:03,50.6637,24.2492,49.87,92,41,14.0
144,Isangel,VU,2021-09-02 01:09:03,-19.55,169.2667,74.3,56,100,15.37
145,Camacha,PT,2021-09-02 01:09:03,33.0833,-16.3333,71.02,78,20,5.75
146,Nelson Bay,AU,2021-09-02 01:09:04,-32.7167,152.15,75.29,67,0,3.0
