City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
131,Naze,JP,76.89,broken clouds,28.3667,129.4833,オーベルジュ・アガルイ
134,Cape Town,ZA,65.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
135,Foz,ES,63.41,clear sky,43.5692,-7.2544,Hotel Balcón de San Bartolo
138,Celestun,MX,85.06,overcast clouds,20.8667,-90.4,Posada Lilia
140,San Joaquin,US,78.94,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
141,Dryden,CA,62.89,overcast clouds,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
142,Tautira,PF,82.42,broken clouds,-17.7333,-149.15,Pension Oaoa
144,Coria,ES,68.45,broken clouds,39.9879,-6.5377,Hotel San Cristóbal
146,Ann Arbor,US,81.64,broken clouds,42.2776,-83.7409,The University Inn Ann Arbor
147,Luanda,AO,75.2,scattered clouds,-8.8368,13.2343,Hotel Fórum
148,Coolum Beach,AU,66.11,broken clouds,-26.5333,153.1,Palmer Coolum Resort
149,Touros,BR,85.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
151,Sumbe,AO,73.56,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
152,Kavieng,PG,81.88,broken clouds,-2.5744,150.7967,Nusa Island Retreat
153,Ternate,ID,81.21,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
157,Bangassou,CF,72.41,overcast clouds,4.7413,22.8184,
160,Marawi,PH,66.65,overcast clouds,7.9986,124.2928,Derogongan Residence
161,Chuy,UY,61.84,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
162,Rabo De Peixe,PT,69.31,broken clouds,37.8,-25.5833,Quinta das Giestas
163,Ahuimanu,US,79.86,light rain,21.4447,-157.8378,Paradise Bay Resort
164,Sterling,US,72.68,overcast clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
165,Parrsboro,CA,63.27,overcast clouds,45.4001,-64.332,Gillespie House Inn
167,Yarmouth,US,64.45,light rain,41.7057,-70.2286,Blue Rock Resort
169,Hermanus,ZA,64.9,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
170,Laguna,US,78.89,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
171,Washougal,US,60.31,overcast clouds,45.5826,-122.3534,Camas Boutique Hotel
172,Xuddur,SO,75.61,broken clouds,4.1213,43.8894,Banjanay Hotel
173,Garowe,SO,83.05,overcast clouds,8.4054,48.4845,Curubo Hotel
175,Yamethin,MM,75.09,overcast clouds,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
179,Zurrieq,MT,67.96,few clouds,35.8311,14.4742,Ta'Bertu Guest House
180,Alyangula,AU,69.67,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
181,Sao Filipe,CV,81.39,clear sky,14.8961,-24.4956,Hotel Xaguate
182,Itarantim,BR,75.22,broken clouds,-15.6597,-40.0656,Pousada Buterfly
184,Noumea,NC,73.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
186,Karratha,AU,72.97,clear sky,-20.7377,116.8463,ibis Styles Karratha
187,Katsuura,JP,71.71,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
188,Hasaki,JP,64.29,broken clouds,35.7333,140.8333,Hotel Sunrise Choshi
189,Yamada,JP,65.17,overcast clouds,39.4667,141.95,Iroha-ya Inn
190,Kilosa,TZ,73.89,broken clouds,-6.8333,36.9833,New Bondeni Hotel
193,Itarema,BR,81.16,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
194,Bambous Virieux,MU,72.21,light rain,-20.3428,57.7575,Casa Tia Villa
195,Dalbandin,PK,64.22,clear sky,28.8947,64.4101,Gidaan Guest House
196,Half Moon Bay,US,80.58,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
201,Tortoli,IT,60.62,clear sky,39.9256,9.6572,Hotel La Bitta
202,Yegros,PY,75.47,scattered clouds,-26.45,-56.4,Bar Hospedaje Caacupe
204,Dinajpur,BD,76.5,clear sky,25.6272,88.6386,Hotel Sahara
205,Beloha,MG,67.68,light rain,-25.1667,45.05,
207,Bethel,US,64.76,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
208,Salamiyah,SY,71.33,scattered clouds,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
210,Villa Maria,AR,66.81,overcast clouds,-32.4075,-63.2402,Hotel Milenium
212,Ribeirao Bonito,BR,66.94,overcast clouds,-22.0667,-48.1761,Hotel Pousada Veraneio
213,Comodoro Rivadavia,AR,71.46,clear sky,-45.8667,-67.5,Austral Hotel
214,Adeje,ES,73.02,few clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
215,Merauke,ID,76.66,overcast clouds,-8.4667,140.3333,
216,Caravelas,BR,73.31,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
217,Kasama,ZM,76.95,broken clouds,-10.2129,31.1808,Kalebalika Cottages
218,Constantine,DZ,60.21,scattered clouds,36.365,6.6147,Grand Hotel Cirta
219,Katherine,AU,84.52,broken clouds,-14.4667,132.2667,Pine Tree Motel
222,Faanui,PF,78.94,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
223,Lorengau,PG,80.55,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
225,Vao,NC,69.64,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
228,Avera,US,83.08,clear sky,33.194,-82.5271,
229,Saint-Pierre,RE,73.04,clear sky,-21.3393,55.4781,Lindsey Hôtel
